  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.023000000000000095E-07  1.000000000000000000E+00  1.058791184067875424E-22  2.117582368135750848E-22  0.000000000000000000E+00  9.942568941457471388E-01  4.495637407096446247E-08  9.942568491893732929E-01
  2.047000000000000264E-07  1.000000000000000222E+00  2.117582368135750848E-22  1.482307657695025593E-21  0.000000000000000000E+00  9.942568941457472498E-01  1.799351772996412764E-07  9.942567142105699363E-01
  4.095000000000000603E-07  1.000000000000000000E+00  0.000000000000000000E+00  2.964615315390051187E-21  0.000000000000000000E+00  9.942568941457470277E-01  7.194617227585900133E-07  9.942561746840244963E-01
  8.191000000000001282E-07  1.000000000000000222E+00  2.541098841762901017E-21  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457472498E-01  2.873259980445716540E-06  9.942540208857667539E-01
  1.638300000000000052E-06  1.000000000000000000E+00 -1.694065894508600678E-21 -1.694065894508600678E-21  0.000000000000000000E+00  9.942568941457473608E-01  1.145152167283957082E-05  9.942454426240744381E-01
  3.276700000000000324E-06  1.000000000000000222E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457473608E-01  4.546471142890615987E-05  9.942114294343183944E-01
  6.553500000000000867E-06  1.000000000000000000E+00  3.388131789017201356E-20  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457473608E-01  1.791311675848491179E-04  9.940777629781624158E-01
  1.310710000000000195E-05  1.000000000000000222E+00 -1.355252715606880543E-20 -2.710505431213761085E-20  0.000000000000000000E+00  9.942568941457472498E-01  6.951800040723267807E-04  9.935617141416749343E-01
  2.621430000000000412E-05  9.999999999999998890E-01  5.421010862427522170E-20 -1.355252715606880543E-19  0.000000000000000000E+00  9.942568941457472498E-01  2.619156159437271199E-03  9.916377379863101638E-01
  5.242870000000000169E-05  1.000000000000000000E+00  1.084202172485504434E-19 -1.084202172485504434E-19  0.000000000000000000E+00  9.942568941457475828E-01  9.327769700544353074E-03  9.849291244452030858E-01
