  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.179649999999999861E-04  9.351880524104499992E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.104168546122465053E-03
  1.310721999999999950E-04  9.293217586943167685E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.555830408320502747E-03
  1.572865999999999858E-04  9.231738233343901312E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.450321310831497026E-03
  2.097153999999999945E-04  9.166931217732132708E-01                       NaN                       NaN                       NaN                       NaN                       NaN  9.050535744153112572E-03
  3.145730000000000119E-04  9.098162008728514216E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.147383425840268860E-02
  5.242881999999999924E-04  9.023672780904380408E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.477751581003575870E-02
  8.346949628978931213E-04  8.944002451090935502E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.810478388641578035E-02
  8.346950628978931554E-04  9.171035354182026349E+05                       NaN                       NaN                       NaN                       NaN                       NaN  1.450704218329994352E+25
  8.346951628978931895E-04  8.299031137762192163+170                       NaN                       NaN                       NaN                       NaN                       NaN  9.292118468991814235+272
  8.346952628978932236E-04                  Infinity                       NaN                       NaN                       NaN                       NaN                       NaN                  Infinity
  8.346953628978932577E-04  7.064131861611416011+257                       NaN                       NaN                       NaN                       NaN                       NaN  8.217977670388193865+256
  8.346954628978932918E-04  8.484008901290427396E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.215800644678306092E-02
  8.346956628978932516E-04  8.366829274553404527E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.126899222386549063E-02
  8.346960628978932796E-04  8.242442946862016395E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.038524635157803133E-02
  8.346968628978932271E-04  8.111198980612204235E-01                       NaN                       NaN                       NaN                       NaN                       NaN  9.474143504085347223E-03
